id,resolution,xdim,ydim,zdim,incoming,coef,,
1,0.2,47,23,40,69440,0.8,,
2,0.2,62,26,57,17873,0.8,, 
3,0.2,69,39,60,15810,0.8,,
4,0.3,78,54,82,9367,0.7,,
5,0.3,79,55,91,28639,0.7,,
6,0.3,85,62,98,35418,0.7,,
7,0.3,84,63,97,7094,0.7,,
8,0.3,93,67,117,5054,0.7,,
9,0.3,108,75,132,20772,0.7,,
10,0.3,122,78,132,58756,0.7,,
11,0.4,129,84,150,21561,0.6,,
12,0.4,141,96,152,36669,0.6,,
13,0.4,158,116,156,68998,0.6,,
14,0.4,141,96,152,4079,0.6,,
15,0.4,158,116,156,37521,0.6,,
16,0.4,159,117,159,57730,0.6,,
17,0.4,191,129,159,40100,0.6,,
18,0.4,192,129,162,56003,0.6,,
19,0.4,193,169,168,42028,0.6,,
20,0.4,210,180,172,63738,0.6,,
21,0.4,224,192,173,33133,0.6,,
22,0.4,226,199,184,22419,0.6,,
23,0.5,230,200,192,36007,0.5,,
24,0.5,243,204,206,63135,0.5,,
25,0.5,249,214,215,36311,0.5,,
26,0.5,255,227,227,56695,0.5,,
27,0.5,261,239,227,25546,0.5,,
28,0.6,266,256,236,31797,0.4,,
29,0.6,269,263,247,3472,0.4,,
30,0.6,271,275,272,41407,0.4,,
31,0.6,272,295,258,50390,0.4,,
32,0.7,279,296,221,3514,0.3,,
33,0.7,293,301,328,27694,0.3,,
34,0.7,298,312,332,28003,0.3,,
35,0.8,346,383,388,9316,0.2,,
36,0.8,398,394,392,55246,0.2,,
